method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
delaunay,0.385,0.917,0.879,0.877,0.522,0.894,0.059,0.894,0.164,0.107,0.542,0.953,0.048,0.981,0.446,0.181,0.106,0.833,umap,mnist,21,jaccard
projnn,0.347,0.931,0.948,0.894,0.532,0.797,0.12,0.797,0.062,0.091,0.663,0.935,0.163,0.978,0.257,0.183,0.203,0.916,umap,mnist,21,jaccard
truenn,0.379,0.955,0.857,0.924,0.583,0.883,0.066,0.883,0.192,0.059,0.554,0.949,0.178,0.988,0.299,0.222,0.117,0.807,umap,mnist,21,jaccard
rescaled,0.318,0.866,0.845,0.736,0.453,0.911,0.057,0.911,0.306,0.267,0.722,0.806,0.387,0.895,0.179,0.358,0.089,0.679,mds,reuters,7,jaccard
magnetic,0.328,0.863,0.791,0.735,0.435,0.965,0.02,0.965,0.366,0.269,0.639,0.82,0.388,0.915,0.179,0.359,0.035,0.625,mds,reuters,7,jaccard
magnetic_on_rescale,0.328,0.863,0.791,0.735,0.435,0.965,0.02,0.965,0.366,0.269,0.639,0.82,0.388,0.915,0.179,0.359,0.035,0.625,mds,reuters,7,jaccard
delaunay,0.241,0.86,0.83,0.746,0.51,0.935,0.04,0.935,0.328,0.248,0.7,0.772,0.297,0.891,0.166,0.269,0.065,0.662,mds,reuters,7,jaccard
projnn,0.252,0.857,0.836,0.736,0.486,0.924,0.047,0.924,0.317,0.262,0.709,0.767,0.308,0.885,0.164,0.282,0.076,0.67,mds,reuters,7,jaccard
truenn,0.343,0.905,0.744,0.81,0.599,0.966,0.019,0.966,0.401,0.185,0.576,0.859,0.057,0.99,0.315,0.002,0.034,0.59,mds,reuters,7,jaccard
rescaled,0.124,0.987,0.989,0.978,0.63,0.76,0.15,0.76,0.018,0.02,0.663,0.902,0.68,0.988,0.114,0.677,0.24,0.982,mds,fashionmnist,7,jaccard
magnetic,0.13,0.983,0.976,0.974,0.616,0.881,0.07,0.881,0.037,0.024,0.603,0.91,0.681,0.989,0.113,0.678,0.119,0.963,mds,fashionmnist,7,jaccard
magnetic_on_rescale,0.13,0.983,0.976,0.974,0.617,0.88,0.07,0.88,0.037,0.024,0.603,0.91,0.681,0.989,0.113,0.678,0.12,0.963,mds,fashionmnist,7,jaccard
delaunay,0.126,0.984,0.986,0.975,0.599,0.797,0.124,0.797,0.022,0.023,0.645,0.898,0.697,0.988,0.101,0.694,0.203,0.977,mds,fashionmnist,7,jaccard
projnn,0.122,0.986,0.988,0.978,0.618,0.793,0.126,0.793,0.02,0.02,0.656,0.902,0.712,0.989,0.098,0.71,0.207,0.979,mds,fashionmnist,7,jaccard
truenn,0.129,0.99,0.961,0.986,0.633,0.888,0.065,0.888,0.055,0.013,0.581,0.912,0.707,0.995,0.109,0.708,0.112,0.945,mds,fashionmnist,7,jaccard
rescaled,0.067,0.969,0.979,0.964,0.718,0.675,0.325,0.675,0.063,0.036,0.837,0.256,0.469,0.0,0.219,0.474,0.325,0.937,umap,spambase,1,jaccard
magnetic,0.061,0.963,0.95,0.957,0.715,0.855,0.145,0.855,0.17,0.043,0.781,0.28,0.475,0.0,0.216,0.48,0.145,0.83,umap,spambase,1,jaccard
magnetic_on_rescale,0.061,0.963,0.95,0.957,0.715,0.854,0.146,0.854,0.169,0.043,0.78,0.279,0.475,0.0,0.216,0.48,0.146,0.831,umap,spambase,1,jaccard
delaunay,0.158,0.965,0.961,0.958,0.742,0.922,0.078,0.922,0.137,0.042,0.801,0.275,0.24,0.0,0.275,0.29,0.078,0.863,umap,spambase,1,jaccard
