method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
truenn,0.081,0.987,0.982,0.987,0.806,0.965,0.035,0.965,0.052,0.013,0.831,0.835,0.799,0.0,0.081,0.808,0.035,0.948,mds,har,1,jaccard
rescaled,0.156,0.976,0.992,0.968,0.789,0.749,0.156,0.749,0.017,0.029,0.866,0.846,0.648,0.989,0.122,0.621,0.251,0.982,isomap,usps,7,jaccard
magnetic,0.169,0.969,0.978,0.962,0.763,0.89,0.064,0.89,0.042,0.036,0.776,0.858,0.646,0.99,0.122,0.622,0.11,0.958,isomap,usps,7,jaccard
magnetic_on_rescale,0.169,0.969,0.978,0.962,0.763,0.89,0.064,0.89,0.042,0.036,0.777,0.858,0.646,0.99,0.122,0.622,0.11,0.958,isomap,usps,7,jaccard
delaunay,0.139,0.973,0.987,0.965,0.767,0.788,0.129,0.788,0.026,0.032,0.839,0.831,0.548,0.988,0.126,0.518,0.212,0.973,isomap,usps,7,jaccard
projnn,0.138,0.973,0.989,0.966,0.787,0.779,0.136,0.779,0.021,0.031,0.855,0.834,0.56,0.988,0.124,0.532,0.221,0.977,isomap,usps,7,jaccard
truenn,0.148,0.983,0.94,0.98,0.778,0.907,0.053,0.907,0.106,0.02,0.762,0.858,0.547,0.992,0.134,0.523,0.093,0.893,isomap,usps,7,jaccard
rescaled,0.156,0.981,0.993,0.978,0.779,0.901,0.099,0.901,0.017,0.022,0.882,0.836,0.541,0.0,0.137,0.501,0.099,0.983,tsne,usps,1,jaccard
magnetic,0.165,0.974,0.982,0.971,0.761,0.975,0.025,0.975,0.041,0.029,0.804,0.849,0.539,0.0,0.137,0.504,0.025,0.959,tsne,usps,1,jaccard
magnetic_on_rescale,0.165,0.974,0.981,0.971,0.761,0.975,0.025,0.975,0.042,0.029,0.804,0.849,0.539,0.0,0.137,0.503,0.025,0.958,tsne,usps,1,jaccard
delaunay,0.147,0.976,0.986,0.973,0.741,0.936,0.064,0.936,0.028,0.027,0.853,0.826,0.492,0.0,0.137,0.453,0.064,0.972,tsne,usps,1,jaccard
projnn,0.145,0.977,0.987,0.975,0.756,0.933,0.067,0.933,0.026,0.025,0.859,0.829,0.499,0.0,0.135,0.463,0.067,0.974,tsne,usps,1,jaccard
truenn,0.16,0.984,0.945,0.983,0.798,0.979,0.021,0.979,0.107,0.017,0.788,0.86,0.475,0.0,0.154,0.45,0.021,0.893,tsne,usps,1,jaccard
rescaled,0.376,0.94,0.982,0.918,0.404,0.81,0.116,0.81,0.032,0.075,0.755,0.96,0.134,0.951,0.643,0.252,0.19,0.965,tsne,mnist,7,jaccard
magnetic,0.378,0.842,0.747,0.81,0.333,0.971,0.017,0.971,0.292,0.184,0.336,0.962,0.133,0.961,0.616,0.219,0.029,0.709,tsne,mnist,7,jaccard
magnetic_on_rescale,0.378,0.842,0.747,0.81,0.333,0.971,0.017,0.971,0.292,0.184,0.337,0.962,0.133,0.961,0.616,0.22,0.029,0.709,tsne,mnist,7,jaccard
delaunay,0.354,0.938,0.917,0.917,0.527,0.931,0.039,0.931,0.118,0.076,0.583,0.949,0.203,0.979,0.349,0.24,0.069,0.88,tsne,mnist,7,jaccard
projnn,0.299,0.951,0.977,0.932,0.58,0.839,0.096,0.839,0.04,0.062,0.734,0.927,0.315,0.972,0.209,0.304,0.161,0.956,tsne,mnist,7,jaccard
truenn,0.352,0.967,0.871,0.958,0.565,0.93,0.04,0.93,0.175,0.041,0.57,0.943,0.339,0.99,0.227,0.337,0.07,0.825,tsne,mnist,7,jaccard
rescaled,0.098,0.745,0.843,0.678,0.473,0.886,0.088,0.886,0.323,0.289,0.645,1.044,-0.16,,0.945,-0.425,0.114,0.662,isomap,spambase,7,jaccard
magnetic,0.073,0.648,0.785,0.578,0.539,0.961,0.025,0.961,0.435,0.401,0.569,0.578,-0.272,0.936,0.523,-0.272,0.039,0.557,isomap,spambase,7,jaccard
magnetic_on_rescale,0.089,0.691,0.787,0.631,0.478,0.941,0.045,0.941,0.426,0.346,0.575,0.945,-0.15,0.914,0.907,-0.168,0.059,0.569,isomap,spambase,7,jaccard
delaunay,0.091,0.636,0.75,0.569,0.472,0.991,0.005,0.991,0.48,0.421,0.538,0.95,-0.152,13.443,0.908,-0.199,0.009,0.519,isomap,spambase,7,jaccard
projnn,0.079,0.743,0.763,0.7,0.581,0.979,0.012,0.979,0.45,0.291,0.553,0.521,-0.089,88.96,0.514,-0.057,0.021,0.549,isomap,spambase,7,jaccard
truenn,0.07,0.858,0.776,0.836,0.595,0.971,0.017,0.971,0.428,0.159,0.571,0.602,-0.085,150.985,0.585,-0.05,0.029,0.57,isomap,spambase,7,jaccard
rescaled,0.208,0.715,0.778,0.637,0.563,0.986,0.007,0.986,0.423,0.341,0.557,0.908,-0.003,,0.7,-0.058,0.014,0.542,tsne,spambase,21,jaccard
magnetic,0.202,0.708,0.771,0.63,0.563,0.988,0.006,0.988,0.429,0.35,0.551,0.882,-0.01,0.951,0.687,-0.051,0.012,0.532,tsne,spambase,21,jaccard
magnetic_on_rescale,0.205,0.71,0.773,0.631,0.563,0.988,0.006,0.988,0.429,0.348,0.554,0.883,-0.005,0.932,0.697,-0.062,0.012,0.534,tsne,spambase,21,jaccard
delaunay,0.223,0.704,0.764,0.629,0.563,0.991,0.005,0.991,0.477,0.358,0.557,0.768,-0.005,16.808,0.656,-0.007,0.009,0.523,tsne,spambase,21,jaccard
projnn,0.209,0.697,0.763,0.621,0.561,0.991,0.004,0.991,0.479,0.366,0.554,0.406,0.011,34.791,0.386,0.01,0.009,0.521,tsne,spambase,21,jaccard
truenn,0.1,0.799,0.783,0.747,0.603,0.971,0.015,0.971,0.447,0.213,0.585,0.446,0.081,37.166,0.419,0.072,0.029,0.549,tsne,spambase,21,jaccard
rescaled,0.296,0.92,0.892,0.806,0.613,0.886,0.074,0.886,0.26,0.188,0.777,0.797,-0.013,0.944,0.263,-0.056,0.114,0.725,isomap,reuters,7,jaccard
magnetic,0.308,0.915,0.836,0.802,0.611,0.938,0.037,0.938,0.332,0.189,0.707,0.813,-0.013,0.955,0.259,-0.056,0.062,0.659,isomap,reuters,7,jaccard
magnetic_on_rescale,0.308,0.915,0.836,0.802,0.611,0.938,0.037,0.938,0.332,0.189,0.707,0.813,-0.013,0.955,0.259,-0.056,0.062,0.659,isomap,reuters,7,jaccard
delaunay,0.248,0.908,0.876,0.793,0.568,0.918,0.05,0.918,0.294,0.194,0.757,0.772,0.089,0.938,0.193,0.053,0.082,0.696,isomap,reuters,7,jaccard
projnn,0.25,0.909,0.886,0.794,0.572,0.899,0.063,0.899,0.273,0.196,0.769,0.773,0.088,0.938,0.192,0.054,0.101,0.714,isomap,reuters,7,jaccard
truenn,0.319,0.941,0.774,0.89,0.5,0.949,0.031,0.949,0.369,0.104,0.631,0.845,-0.123,0.99,0.356,-0.175,0.051,0.624,isomap,reuters,7,jaccard
rescaled,0.253,0.979,0.985,0.964,0.6,0.711,0.178,0.711,0.025,0.031,0.629,0.971,0.477,0.982,0.341,0.59,0.289,0.975,umap,fashionmnist,21,jaccard
magnetic,0.241,0.697,0.563,0.568,0.173,0.991,0.005,0.991,0.46,0.427,0.129,0.967,0.13,0.986,0.251,0.119,0.009,0.54,umap,fashionmnist,21,jaccard
magnetic_on_rescale,0.256,0.926,0.886,0.886,0.495,0.918,0.048,0.918,0.142,0.111,0.416,0.973,0.459,0.988,0.327,0.564,0.082,0.859,umap,fashionmnist,21,jaccard
delaunay,0.178,0.973,0.943,0.956,0.565,0.852,0.085,0.852,0.074,0.039,0.511,0.94,0.667,0.991,0.114,0.682,0.148,0.925,umap,fashionmnist,21,jaccard
projnn,0.125,0.979,0.98,0.964,0.586,0.759,0.145,0.759,0.03,0.031,0.609,0.924,0.681,0.988,0.107,0.685,0.241,0.967,umap,fashionmnist,21,jaccard
truenn,0.171,0.985,0.954,0.975,0.59,0.823,0.102,0.823,0.066,0.021,0.552,0.942,0.728,0.995,0.105,0.744,0.177,0.934,umap,fashionmnist,21,jaccard
rescaled,0.277,0.977,0.988,0.955,0.528,0.799,0.122,0.799,0.022,0.041,0.659,0.987,0.194,0.973,0.682,0.309,0.201,0.978,umap,fashionmnist,7,jaccard
magnetic,0.276,0.755,0.619,0.677,0.21,0.989,0.006,0.989,0.403,0.319,0.172,0.983,0.176,0.963,0.475,0.156,0.011,0.596,umap,fashionmnist,7,jaccard
magnetic_on_rescale,0.277,0.794,0.655,0.727,0.265,0.982,0.01,0.982,0.367,0.269,0.197,0.986,0.182,0.965,0.585,0.173,0.018,0.633,umap,fashionmnist,7,jaccard
delaunay,0.267,0.941,0.859,0.914,0.494,0.971,0.016,0.971,0.182,0.084,0.434,0.974,0.328,0.985,0.329,0.408,0.029,0.819,umap,fashionmnist,7,jaccard
projnn,0.162,0.977,0.979,0.962,0.482,0.859,0.084,0.859,0.032,0.036,0.623,0.928,0.535,0.988,0.135,0.516,0.141,0.965,umap,fashionmnist,7,jaccard
truenn,0.228,0.985,0.932,0.978,0.527,0.911,0.051,0.911,0.09,0.021,0.534,0.951,0.594,0.994,0.132,0.601,0.089,0.909,umap,fashionmnist,7,jaccard
rescaled,0.413,0.86,0.87,0.711,0.484,0.889,0.068,0.889,0.303,0.234,0.755,0.949,-0.235,0.925,0.601,-0.362,0.111,0.682,isomap,reuters,21,jaccard
magnetic,0.413,0.785,0.673,0.624,0.444,0.975,0.013,0.975,0.446,0.355,0.443,0.944,-0.191,0.973,0.457,-0.244,0.025,0.547,isomap,reuters,21,jaccard
magnetic_on_rescale,0.414,0.814,0.693,0.661,0.471,0.964,0.02,0.964,0.426,0.306,0.485,0.948,-0.213,0.962,0.537,-0.304,0.036,0.565,isomap,reuters,21,jaccard
delaunay,0.383,0.857,0.76,0.705,0.581,0.964,0.02,0.964,0.414,0.262,0.585,0.913,-0.064,0.967,0.388,-0.047,0.036,0.586,isomap,reuters,21,jaccard
projnn,0.245,0.889,0.827,0.734,0.555,0.912,0.052,0.912,0.342,0.229,0.703,0.804,0.099,0.956,0.191,0.087,0.088,0.645,isomap,reuters,21,jaccard
truenn,0.356,0.929,0.78,0.839,0.608,0.943,0.032,0.943,0.384,0.127,0.634,0.891,-0.067,0.991,0.282,-0.105,0.057,0.612,isomap,reuters,21,jaccard
rescaled,0.258,0.957,0.992,0.954,0.491,0.922,0.078,0.922,0.019,0.046,0.868,0.944,0.596,0.0,0.373,0.662,0.078,0.981,umap,usps,1,trustworthiness
magnetic,0.262,0.862,0.775,0.856,0.398,0.991,0.009,0.991,0.252,0.144,0.371,0.948,0.571,0.0,0.344,0.625,0.009,0.748,umap,usps,1,trustworthiness
magnetic_on_rescale,0.261,0.87,0.779,0.864,0.405,0.991,0.009,0.991,0.247,0.136,0.385,0.948,0.574,0.0,0.348,0.63,0.009,0.753,umap,usps,1,trustworthiness
delaunay,0.232,0.956,0.931,0.953,0.631,0.985,0.015,0.985,0.11,0.047,0.691,0.911,0.551,0.0,0.173,0.522,0.015,0.89,umap,usps,1,trustworthiness
projnn,0.135,0.967,0.992,0.964,0.637,0.936,0.064,0.936,0.022,0.036,0.863,0.861,0.553,0.0,0.132,0.516,0.064,0.978,umap,usps,1,trustworthiness
truenn,0.194,0.981,0.925,0.979,0.729,0.981,0.019,0.981,0.12,0.021,0.715,0.89,0.504,0.0,0.155,0.456,0.019,0.88,umap,usps,1,trustworthiness
rescaled,0.41,0.677,0.706,0.529,0.494,0.996,0.002,0.996,0.378,0.468,0.336,0.865,0.511,0.982,0.742,0.438,0.004,0.593,isomap,reuters,7,trustworthiness
magnetic,0.395,0.677,0.698,0.529,0.494,0.997,0.002,0.997,0.381,0.469,0.328,0.872,0.513,0.983,0.741,0.435,0.003,0.591,isomap,reuters,7,trustworthiness
magnetic_on_rescale,0.397,0.677,0.698,0.529,0.494,0.997,0.002,0.997,0.381,0.469,0.328,0.872,0.513,0.983,0.741,0.435,0.003,0.591,isomap,reuters,7,trustworthiness
delaunay,0.382,0.694,0.647,0.548,0.492,0.998,0.001,0.998,0.494,0.45,0.361,0.862,0.51,0.983,0.691,0.389,0.002,0.506,isomap,reuters,7,trustworthiness
projnn,0.316,0.697,0.651,0.547,0.351,0.998,0.001,0.998,0.49,0.446,0.364,0.812,0.464,0.968,0.344,0.37,0.002,0.508,isomap,reuters,7,trustworthiness
truenn,0.333,0.809,0.706,0.695,0.578,0.993,0.004,0.993,0.463,0.294,0.5,0.84,0.476,0.979,0.504,0.328,0.007,0.536,isomap,reuters,7,trustworthiness
rescaled,0.281,0.924,0.942,0.873,0.291,0.699,0.187,0.699,0.06,0.103,0.623,0.919,0.195,0.963,0.447,0.269,0.301,0.914,isomap,mnist,51,trustworthiness
magnetic,0.286,0.87,0.749,0.808,0.277,0.904,0.054,0.904,0.281,0.175,0.306,0.924,0.189,0.973,0.431,0.247,0.096,0.716,isomap,mnist,51,trustworthiness
magnetic_on_rescale,0.286,0.876,0.766,0.816,0.275,0.896,0.059,0.896,0.263,0.167,0.324,0.924,0.193,0.973,0.434,0.252,0.104,0.732,isomap,mnist,51,trustworthiness
delaunay,0.271,0.921,0.887,0.874,0.421,0.807,0.111,0.807,0.148,0.106,0.497,0.924,0.295,0.979,0.276,0.301,0.193,0.846,isomap,mnist,51,trustworthiness
projnn,0.251,0.939,0.936,0.896,0.459,0.727,0.167,0.727,0.075,0.086,0.599,0.907,0.415,0.975,0.18,0.393,0.273,0.898,isomap,mnist,51,trustworthiness
truenn,0.318,0.937,0.843,0.89,0.469,0.838,0.093,0.838,0.193,0.082,0.465,0.933,0.373,0.984,0.238,0.365,0.162,0.802,isomap,mnist,51,trustworthiness
rescaled,0.268,0.958,0.985,0.954,0.617,0.937,0.063,0.937,0.029,0.046,0.81,0.952,0.501,0.0,0.476,0.525,0.063,0.971,isomap,usps,1,trustworthiness
magnetic,0.271,0.748,0.695,0.738,0.333,0.997,0.003,0.997,0.334,0.262,0.293,0.956,0.45,0.0,0.379,0.422,0.003,0.666,isomap,usps,1,trustworthiness
magnetic_on_rescale,0.27,0.827,0.739,0.818,0.427,0.996,0.004,0.996,0.288,0.181,0.357,0.954,0.493,0.0,0.423,0.486,0.004,0.712,isomap,usps,1,trustworthiness
delaunay,0.226,0.936,0.888,0.931,0.598,0.991,0.009,0.991,0.161,0.069,0.633,0.922,0.508,0.0,0.245,0.462,0.009,0.839,isomap,usps,1,trustworthiness
projnn,0.141,0.951,0.974,0.946,0.61,0.961,0.039,0.961,0.046,0.054,0.786,0.869,0.519,0.0,0.14,0.475,0.039,0.954,isomap,usps,1,trustworthiness
truenn,0.168,0.978,0.892,0.976,0.69,0.977,0.023,0.977,0.149,0.024,0.659,0.89,0.5,0.0,0.17,0.455,0.023,0.851,isomap,usps,1,trustworthiness
rescaled,0.044,0.817,0.83,0.773,0.645,0.923,0.051,0.923,0.397,0.19,0.623,0.705,0.228,0.98,0.571,0.167,0.077,0.605,mds,spambase,21,trustworthiness
magnetic,0.044,0.784,0.795,0.73,0.634,0.964,0.022,0.964,0.442,0.239,0.576,0.711,0.219,0.981,0.562,0.152,0.036,0.553,mds,spambase,21,trustworthiness
magnetic_on_rescale,0.044,0.784,0.795,0.73,0.634,0.964,0.022,0.964,0.442,0.239,0.575,0.711,0.219,0.981,0.563,0.152,0.036,0.553,mds,spambase,21,trustworthiness
delaunay,0.042,0.768,0.796,0.714,0.629,0.982,0.01,0.982,0.442,0.265,0.57,0.637,0.233,0.979,0.467,0.199,0.018,0.558,mds,spambase,21,trustworthiness
projnn,0.059,0.737,0.816,0.674,0.639,0.971,0.016,0.971,0.409,0.307,0.599,0.364,0.28,1.214,0.288,0.304,0.029,0.587,mds,spambase,21,trustworthiness
truenn,0.041,0.814,0.826,0.771,0.689,0.963,0.02,0.963,0.404,0.19,0.615,0.453,0.281,1.02,0.302,0.276,0.037,0.591,mds,spambase,21,trustworthiness
rescaled,0.118,0.972,0.991,0.971,0.512,0.937,0.063,0.937,0.028,0.029,0.839,0.977,0.283,0.0,0.681,0.556,0.063,0.972,isomap,har,1,trustworthiness
magnetic,0.111,0.628,0.579,0.615,0.266,0.997,0.003,0.997,0.452,0.385,0.225,0.961,0.186,0.0,0.372,0.133,0.003,0.548,isomap,har,1,trustworthiness
magnetic_on_rescale,0.117,0.717,0.667,0.707,0.365,0.991,0.009,0.991,0.369,0.293,0.311,0.974,0.254,0.0,0.584,0.302,0.009,0.631,isomap,har,1,trustworthiness
delaunay,0.1,0.933,0.916,0.931,0.695,0.993,0.007,0.993,0.141,0.069,0.623,0.94,0.442,0.0,0.263,0.539,0.007,0.859,isomap,har,1,trustworthiness
projnn,0.093,0.969,0.98,0.967,0.709,0.953,0.047,0.953,0.042,0.033,0.802,0.857,0.638,0.0,0.116,0.653,0.047,0.958,isomap,har,1,trustworthiness
truenn,0.074,0.984,0.973,0.983,0.764,0.965,0.035,0.965,0.063,0.017,0.784,0.868,0.666,0.0,0.107,0.68,0.035,0.937,isomap,har,1,trustworthiness
rescaled,0.288,0.819,0.719,0.705,0.503,0.975,0.014,0.975,0.418,0.283,0.536,0.784,0.175,0.933,0.291,0.157,0.025,0.572,mds,reuters,7,trustworthiness
magnetic,0.297,0.817,0.704,0.702,0.493,0.981,0.01,0.981,0.432,0.286,0.506,0.803,0.183,0.943,0.282,0.164,0.019,0.559,mds,reuters,7,trustworthiness
magnetic_on_rescale,0.297,0.817,0.703,0.702,0.493,0.981,0.01,0.981,0.432,0.286,0.506,0.803,0.183,0.943,0.282,0.164,0.019,0.559,mds,reuters,7,trustworthiness
delaunay,0.3,0.813,0.67,0.696,0.496,0.993,0.004,0.993,0.461,0.293,0.459,0.806,0.166,0.943,0.281,0.147,0.007,0.538,mds,reuters,7,trustworthiness
projnn,0.269,0.823,0.688,0.706,0.501,0.987,0.007,0.987,0.445,0.282,0.491,0.79,0.143,0.936,0.242,0.116,0.013,0.555,mds,reuters,7,trustworthiness
truenn,0.34,0.912,0.736,0.854,0.54,0.972,0.016,0.972,0.413,0.138,0.569,0.848,-0.008,0.99,0.348,-0.06,0.028,0.58,mds,reuters,7,trustworthiness
rescaled,0.316,0.819,0.798,0.727,0.485,0.92,0.08,0.92,0.366,0.273,0.634,0.675,0.089,0.0,0.316,0.129,0.08,0.634,isomap,reuters,1,trustworthiness
magnetic,0.274,0.796,0.726,0.702,0.484,0.928,0.072,0.928,0.414,0.298,0.509,0.701,0.095,0.0,0.301,0.131,0.072,0.586,isomap,reuters,1,trustworthiness
magnetic_on_rescale,0.274,0.796,0.726,0.702,0.484,0.928,0.072,0.928,0.414,0.298,0.51,0.701,0.095,0.0,0.301,0.131,0.072,0.586,isomap,reuters,1,trustworthiness
delaunay,0.279,0.784,0.687,0.686,0.486,0.995,0.005,0.995,0.456,0.314,0.47,0.697,0.089,0.0,0.303,0.103,0.005,0.544,isomap,reuters,1,trustworthiness
projnn,0.244,0.816,0.737,0.733,0.492,0.983,0.017,0.983,0.414,0.267,0.572,0.73,0.142,0.0,0.217,0.137,0.017,0.586,isomap,reuters,1,trustworthiness
truenn,0.244,0.841,0.747,0.761,0.511,0.968,0.032,0.968,0.408,0.239,0.581,0.799,0.122,0.0,0.272,0.13,0.032,0.592,isomap,reuters,1,trustworthiness
rescaled,0.234,0.969,0.982,0.944,0.519,0.606,0.254,0.606,0.026,0.045,0.609,0.958,0.344,0.998,0.317,0.39,0.394,0.969,umap,fashionmnist,51,trustworthiness
magnetic,0.242,0.922,0.861,0.87,0.455,0.872,0.074,0.872,0.173,0.122,0.398,0.963,0.335,0.998,0.303,0.377,0.128,0.829,umap,fashionmnist,51,trustworthiness
magnetic_on_rescale,0.24,0.949,0.913,0.913,0.496,0.808,0.115,0.808,0.116,0.078,0.474,0.961,0.34,0.998,0.311,0.387,0.192,0.887,umap,fashionmnist,51,trustworthiness
delaunay,0.135,0.977,0.944,0.957,0.601,0.712,0.175,0.712,0.074,0.037,0.55,0.924,0.627,0.994,0.114,0.629,0.288,0.919,umap,fashionmnist,51,trustworthiness
projnn,0.134,0.978,0.971,0.957,0.612,0.652,0.22,0.652,0.034,0.036,0.6,0.922,0.631,0.995,0.117,0.632,0.348,0.954,umap,fashionmnist,51,trustworthiness
truenn,0.174,0.984,0.957,0.971,0.6,0.713,0.174,0.713,0.068,0.023,0.564,0.937,0.638,0.996,0.128,0.648,0.287,0.933,umap,fashionmnist,51,trustworthiness
rescaled,0.049,0.899,0.909,0.877,0.714,0.876,0.095,0.876,0.254,0.109,0.708,0.945,0.186,0.966,0.918,0.431,0.124,0.74,umap,spambase,7,trustworthiness
magnetic,0.048,0.626,0.857,0.56,0.571,0.925,0.058,0.925,0.318,0.426,0.658,0.883,0.174,0.965,0.741,0.131,0.075,0.668,umap,spambase,7,trustworthiness
magnetic_on_rescale,0.048,0.628,0.853,0.562,0.584,0.925,0.058,0.925,0.325,0.423,0.652,0.89,0.167,0.966,0.755,0.123,0.075,0.662,umap,spambase,7,trustworthiness
delaunay,0.047,0.604,0.776,0.537,0.563,0.992,0.005,0.992,0.466,0.465,0.553,0.838,0.197,0.974,0.618,0.111,0.008,0.535,umap,spambase,7,trustworthiness
projnn,0.092,0.707,0.886,0.651,0.735,0.977,0.015,0.977,0.336,0.344,0.675,0.404,0.067,1.171,0.347,0.078,0.023,0.658,umap,spambase,7,trustworthiness
truenn,0.079,0.856,0.889,0.833,0.761,0.97,0.018,0.97,0.34,0.165,0.699,0.408,0.208,1.275,0.305,0.223,0.03,0.657,umap,spambase,7,trustworthiness
rescaled,0.237,0.98,0.981,0.961,0.649,0.609,0.253,0.609,0.029,0.032,0.599,0.958,0.313,0.998,0.31,0.406,0.391,0.97,isomap,fashionmnist,51,trustworthiness
magnetic,0.246,0.846,0.74,0.755,0.367,0.943,0.032,0.943,0.29,0.238,0.272,0.964,0.234,0.998,0.275,0.263,0.057,0.711,isomap,fashionmnist,51,trustworthiness
magnetic_on_rescale,0.241,0.962,0.931,0.934,0.586,0.803,0.117,0.803,0.093,0.061,0.49,0.961,0.307,0.998,0.307,0.395,0.197,0.909,isomap,fashionmnist,51,trustworthiness
delaunay,0.142,0.973,0.946,0.955,0.551,0.726,0.166,0.726,0.069,0.038,0.523,0.919,0.566,0.993,0.127,0.562,0.274,0.926,isomap,fashionmnist,51,trustworthiness
projnn,0.143,0.975,0.97,0.958,0.589,0.674,0.204,0.674,0.037,0.035,0.574,0.919,0.568,0.993,0.129,0.561,0.326,0.956,isomap,fashionmnist,51,trustworthiness
truenn,0.188,0.983,0.943,0.969,0.603,0.73,0.163,0.73,0.076,0.024,0.538,0.942,0.569,0.997,0.146,0.594,0.27,0.924,isomap,fashionmnist,51,trustworthiness
rescaled,0.067,0.849,0.847,0.807,0.613,0.854,0.099,0.854,0.306,0.149,0.633,0.231,0.56,0.973,0.2,0.583,0.146,0.661,umap,spambase,51,trustworthiness
magnetic,0.059,0.846,0.844,0.802,0.613,0.877,0.081,0.877,0.332,0.154,0.626,0.258,0.556,0.969,0.199,0.577,0.123,0.652,umap,spambase,51,trustworthiness
magnetic_on_rescale,0.059,0.846,0.844,0.802,0.613,0.877,0.081,0.877,0.332,0.154,0.626,0.258,0.556,0.976,0.199,0.577,0.123,0.652,umap,spambase,51,trustworthiness
delaunay,0.147,0.833,0.84,0.785,0.634,0.884,0.068,0.884,0.332,0.165,0.623,0.249,0.327,0.956,0.248,0.359,0.116,0.649,umap,spambase,51,trustworthiness
projnn,0.136,0.834,0.842,0.787,0.633,0.88,0.072,0.88,0.317,0.164,0.626,0.241,0.353,0.956,0.24,0.378,0.12,0.652,umap,spambase,51,trustworthiness
truenn,0.062,0.87,0.847,0.828,0.669,0.873,0.076,0.873,0.325,0.108,0.644,0.321,0.36,0.973,0.255,0.335,0.127,0.653,umap,spambase,51,trustworthiness
rescaled,0.197,0.93,0.96,0.912,0.406,0.764,0.142,0.764,0.046,0.077,0.73,0.848,0.363,0.958,0.374,0.397,0.236,0.94,isomap,usps,21,trustworthiness
magnetic,0.185,0.874,0.78,0.85,0.327,0.918,0.048,0.918,0.248,0.141,0.421,0.859,0.363,0.968,0.361,0.379,0.082,0.75,isomap,usps,21,trustworthiness
magnetic_on_rescale,0.185,0.874,0.78,0.85,0.327,0.918,0.048,0.918,0.248,0.14,0.421,0.859,0.363,0.968,0.361,0.379,0.082,0.75,isomap,usps,21,trustworthiness
delaunay,0.18,0.926,0.891,0.908,0.431,0.877,0.07,0.877,0.143,0.082,0.595,0.863,0.423,0.976,0.29,0.452,0.123,0.855,isomap,usps,21,trustworthiness
projnn,0.165,0.946,0.951,0.93,0.568,0.794,0.122,0.794,0.064,0.062,0.708,0.852,0.495,0.977,0.181,0.481,0.206,0.926,isomap,usps,21,trustworthiness
truenn,0.175,0.959,0.914,0.945,0.612,0.853,0.084,0.853,0.134,0.045,0.711,0.88,0.499,0.989,0.187,0.48,0.147,0.865,isomap,usps,21,trustworthiness
rescaled,0.057,0.849,0.868,0.812,0.657,0.87,0.091,0.87,0.302,0.157,0.668,0.389,0.456,0.978,0.334,0.506,0.13,0.682,umap,spambase,21,trustworthiness
magnetic,0.068,0.825,0.834,0.782,0.652,0.934,0.048,0.934,0.368,0.192,0.632,0.421,0.443,0.969,0.333,0.489,0.066,0.616,umap,spambase,21,trustworthiness
magnetic_on_rescale,0.051,0.827,0.843,0.786,0.652,0.932,0.049,0.932,0.36,0.187,0.643,0.421,0.446,0.98,0.332,0.495,0.068,0.624,umap,spambase,21,trustworthiness
delaunay,0.059,0.831,0.834,0.79,0.657,0.964,0.02,0.964,0.381,0.184,0.618,0.397,0.447,0.98,0.306,0.48,0.036,0.618,umap,spambase,21,trustworthiness
projnn,0.134,0.82,0.859,0.776,0.668,0.939,0.034,0.939,0.343,0.196,0.659,0.301,0.313,0.976,0.281,0.338,0.061,0.644,umap,spambase,21,trustworthiness
truenn,0.086,0.865,0.859,0.827,0.705,0.928,0.041,0.928,0.351,0.133,0.678,0.374,0.239,0.98,0.303,0.231,0.072,0.636,umap,spambase,21,trustworthiness
rescaled,0.058,0.957,0.954,0.949,0.58,0.707,0.293,0.707,0.125,0.051,0.796,0.696,0.341,0.0,0.667,0.545,0.293,0.875,umap,spambase,1,trustworthiness
magnetic,0.052,0.796,0.83,0.768,0.572,0.868,0.132,0.868,0.344,0.232,0.626,0.664,0.339,0.0,0.591,0.461,0.132,0.656,umap,spambase,1,trustworthiness
magnetic_on_rescale,0.054,0.817,0.842,0.791,0.583,0.87,0.13,0.87,0.33,0.209,0.63,0.678,0.343,0.0,0.617,0.493,0.13,0.67,umap,spambase,1,trustworthiness
delaunay,0.057,0.923,0.887,0.912,0.673,0.991,0.009,0.991,0.285,0.088,0.675,0.542,0.328,0.0,0.449,0.387,0.009,0.715,umap,spambase,1,trustworthiness
projnn,0.087,0.946,0.941,0.937,0.702,0.941,0.059,0.941,0.163,0.063,0.746,0.34,0.312,0.0,0.284,0.367,0.059,0.837,umap,spambase,1,trustworthiness
truenn,0.073,0.966,0.909,0.961,0.718,0.922,0.078,0.922,0.229,0.039,0.73,0.386,0.285,0.0,0.292,0.318,0.078,0.771,umap,spambase,1,trustworthiness
rescaled,0.303,0.884,0.824,0.816,0.432,0.915,0.085,0.915,0.334,0.184,0.673,0.803,-0.032,0.0,0.462,-0.089,0.085,0.666,tsne,reuters,1,trustworthiness
magnetic,0.284,0.863,0.74,0.783,0.445,0.927,0.073,0.927,0.389,0.217,0.546,0.812,-0.018,0.0,0.418,-0.076,0.073,0.611,tsne,reuters,1,trustworthiness
